weekday,hour,avg_cyclists
Friday,0,0.32829387094515206
Friday,1,0.1992016682488056
Friday,2,0.13570372675639927
Friday,3,0.12586555667937446
Friday,4,0.2971830327945436
Friday,5,0.8323566313131707
Friday,6,1.6294850213535335
Friday,7,4.733236696904517
Friday,8,6.117942982729597
Friday,9,2.889219690120647
Friday,10,3.1562879945132027
Friday,11,3.3525533108866443
Friday,12,3.8566256702830777
Friday,13,3.8040084486843746
Friday,14,4.338617658062103
Friday,15,5.991921530115975
Friday,16,6.649890104751216
Friday,17,5.039807800224467
Friday,18,3.519481076194039
Friday,19,2.4917188863948123
Friday,20,1.7969003304651452
Friday,21,1.3999953236064346
Friday,22,1.269013436837511
Friday,23,0.8988768861454046
Monday,0,0.20529878891517722
Monday,1,0.1351962154271306
Monday,2,0.09677557838209123
Monday,3,0.10896300400315258
Monday,4,0.28013371090672223
Monday,5,0.8564681933048388
Monday,6,1.851059183227779
Monday,7,5.527867906280223
Monday,8,6.809467912519889
Monday,9,2.785507596792812
Monday,10,2.8362828752378872
Monday,11,2.932724705955761
Monday,12,3.585597179649172
Monday,13,3.6906238300262073
Monday,14,3.963609915137901
Monday,15,5.555776550605266
Monday,16,7.301888337701236
Monday,17,5.994442624485211
Monday,18,3.5840392175215277
Monday,19,2.183007300636466
Monday,20,1.5612676276051416
Monday,21,1.3070479221265443
Monday,22,1.0577616061400226
Monday,23,0.3983175776862598
Saturday,0,0.6563691213956643
Saturday,1,0.5116161143356425
Saturday,2,0.3916410965107473
Saturday,3,0.28658169684371754
Saturday,4,0.19972568052331716
Saturday,5,0.3214347119322267
Saturday,6,0.5095892337991185
Saturday,7,0.6726765450623652
Saturday,8,1.442230141611179
Saturday,9,2.5770174588536863
Saturday,10,3.3949515473585494
Saturday,11,3.759323080289461
Saturday,12,3.5610005782786054
Saturday,13,3.891417653861782
Saturday,14,4.356495952239553
Saturday,15,4.239149970306005
Saturday,16,3.8294158097083737
Saturday,17,3.321273403557028
Saturday,18,2.5709920920201292
Saturday,19,1.8632513362298002
Saturday,20,1.420127059044166
Saturday,21,1.08957428187416
Saturday,22,0.9583463570155971
Saturday,23,0.7876840246303879
Sunday,0,0.5939616980380207
Sunday,1,0.46850387548443556
Sunday,2,0.36803194837897385
Sunday,3,0.2637735613238867
Sunday,4,0.1989346413396651
Sunday,5,0.23320108712630033
Sunday,6,0.3600988722626597
Sunday,7,0.5738886632720003
Sunday,8,1.5482295148542689
Sunday,9,2.8077418699821934
Sunday,10,3.6638538973970496
Sunday,11,4.065737067349744
Sunday,12,3.409616631133394
Sunday,13,3.4352109266403237
Sunday,14,3.890953957643531
Sunday,15,3.7383254201286937
Sunday,16,3.4330019678890484
Sunday,17,3.0110771849815707
Sunday,18,2.251975698132067
Sunday,19,1.5992378334478665
Sunday,20,1.2254638595614418
Sunday,21,0.9505567876554007
Sunday,22,0.6498875491972262
Sunday,23,0.36366511526207285
Thursday,0,0.25901640620135735
Thursday,1,0.14507517977772935
Thursday,2,0.09362889293551852
Thursday,3,0.09536297068687796
Thursday,4,0.29685700501136114
Thursday,5,0.9132310828897812
Thursday,6,1.9240942198151088
Thursday,7,5.588729884520808
Thursday,8,6.95015407840879
Thursday,9,2.8813927971113737
Thursday,10,2.9031820021166657
Thursday,11,3.0170500529166406
Thursday,12,3.7122502023283324
Thursday,13,3.8281843366743447
Thursday,14,4.151754031002926
Thursday,15,5.70545663948204
Thursday,16,7.352276971923053
Thursday,17,6.065912345141007
Thursday,18,3.904995175247463
Thursday,19,2.520968218888128
Thursday,20,1.7604354728257485
Thursday,21,1.458791166033742
Thursday,22,1.2517781547656104
Thursday,23,0.6095569009524995
Tuesday,0,0.1901965372016846
Tuesday,1,0.10895856400979367
Tuesday,2,0.07538667830859423
Tuesday,3,0.08883709691248802
Tuesday,4,0.30396221709582893
Tuesday,5,0.9674963373959664
Tuesday,6,2.144801440104735
Tuesday,7,6.183812069449207
Tuesday,8,7.538655154410217
Tuesday,9,3.0650032727612753
Tuesday,10,3.0366549262849483
Tuesday,11,3.1049738179097965
Tuesday,12,3.7832185269457344
Tuesday,13,3.9144257517551995
Tuesday,14,4.135125763620496
Tuesday,15,5.872288368033911
Tuesday,16,7.827799682084528
Tuesday,17,6.467327951626979
Tuesday,18,3.949012747787059
Tuesday,19,2.396155404563022
Tuesday,20,1.6662316107717243
Tuesday,21,1.4005345343473383
Tuesday,22,1.1408451252960978
Tuesday,23,0.47092008477745917
Wednesday,0,0.2229126410272393
Wednesday,1,0.12665077250309703
Wednesday,2,0.08305807014537013
Wednesday,3,0.09443721712847918
Wednesday,4,0.29795222108846187
Wednesday,5,0.9444556954137587
Wednesday,6,1.9781281156530408
Wednesday,7,5.593422856430708
Wednesday,8,6.66051719437629
Wednesday,9,2.7836268469549097
Wednesday,10,2.960308126085568
Wednesday,11,3.331309583151598
Wednesday,12,6.750584148545081
Wednesday,13,4.419327704912925
Wednesday,14,4.519961681049254
Wednesday,15,4.694897037290882
Wednesday,16,5.989754353718184
Wednesday,17,5.79604504813234
Wednesday,18,3.8880222125299855
Wednesday,19,2.483395121343344
Wednesday,20,1.826805352191657
Wednesday,21,1.46506511106265
Wednesday,22,1.1956447241347083
Wednesday,23,0.5348647932957413
